"tag","cluster","eigen_centrality","betweenness","closeness","degree.res","degree.centralization","degree.theoretical_max","theme"
"powerboating",3,0.000251539450110686,115.481455324934,0.000122339124051872,19,0.377733628095018,7433802,"aquatics"
"warship",3,0.000219256302750103,0.382401603046129,0.000103906899418121,17,0.377733628095018,7433802,"aquatics"
"chemical tanker",3,0.000219004220135701,0,9.46163307786924e-05,14,0.377733628095018,7433802,"aquatics"
"salmon like fish",11,0.000215223558292183,61.2292881007748,0.000121580547112462,32,0.377733628095018,7433802,"aquatics"
"cutthroat trout",11,0.000208311469975041,26.0153725121192,0.000116157509582995,31,0.377733628095018,7433802,"aquatics"
"perch",11,0.000190622832660222,63.6831125461563,0.000124038700074423,32,0.377733628095018,7433802,"aquatics"
"brig",3,0.000183047018216143,650.681038060041,0.000119645848289064,24,0.377733628095018,7433802,"aquatics"
"windjammer",3,0.000178198362799171,223.455583580341,0.00011846937566639,19,0.377733628095018,7433802,"aquatics"
"coastal cutthroat trout",11,0.000164746176444818,26.2399416435808,0.000116144018583043,27,0.377733628095018,7433802,"aquatics"
"bony fish",11,0.000154934062517827,343.733106483559,0.0001232741617357,33,0.377733628095018,7433802,"aquatics"
"carp",11,0.000139977512638335,21.9510089971915,0.000122189638318671,27,0.377733628095018,7433802,"aquatics"
"east indiaman",3,0.000120430311731571,23.5083072469398,0.00011063170704724,19,0.377733628095018,7433802,"aquatics"
"amphibious transport dock",3,9.62367261416911e-05,147.0060244072,0.000114364135407136,18,0.377733628095018,7433802,"aquatics"
"galeas",3,9.55376330503208e-05,4.22927445195474,9.8405825624877e-05,18,0.377733628095018,7433802,"aquatics"
"guided missile destroyer",3,8.76124138201887e-05,0,0.000106078285774902,12,0.377733628095018,7433802,"aquatics"
"baltimore clipper",3,7.46360099427487e-05,451.657508164118,0.000117164616285882,27,0.377733628095018,7433802,"aquatics"
"frigate",3,6.62751438734389e-05,19.459294970148,0.000112007168458781,14,0.377733628095018,7433802,"aquatics"
"full rigged ship",3,5.57219213462232e-05,157.398348067172,0.000112384805574286,19,0.377733628095018,7433802,"aquatics"
"clipper",3,5.14624841568039e-05,28.9006625599947,0.000107898144151921,13,0.377733628095018,7433802,"aquatics"
"ship of the line",3,4.80483451170428e-05,115.566347954524,0.000121432908318154,21,0.377733628095018,7433802,"aquatics"
"common rudd",11,1.63851498647806e-05,38.9766238051292,0.000112246043326973,18,0.377733628095018,7433802,"aquatics"
"performance",7,0.0111380742357195,5593.4737710894,0.000142429853297251,242,0.377733628095018,7433802,"arts"
"entertainment",7,0.00810110280279206,2394.57908599399,0.000141663125088539,186,0.377733628095018,7433802,"arts"
"performing arts",7,0.00602433676376586,4393.92817377361,0.000144133756125685,185,0.377733628095018,7433802,"arts"
"stage",7,0.00527291741131848,1837.50533010311,0.000138677021217584,160,0.377733628095018,7433802,"arts"
"musician",7,0.00405651495343985,1413.14370411174,0.000137703112090333,165,0.377733628095018,7433802,"arts"
"music",7,0.00356548287090904,1604.02188928138,0.000142673705236125,166,0.377733628095018,7433802,"arts"
"musical instrument",7,0.00292671340881962,1499.91385939484,0.000141242937853107,177,0.377733628095018,7433802,"arts"
"concert",7,0.00243501908153392,409.399100072625,0.000128982329420869,92,0.377733628095018,7433802,"arts"
"audio",7,0.00224077111388636,2280.5948664618,0.000137249519626681,152,0.377733628095018,7433802,"arts"
"rock concert",7,0.00166146345456245,199.414546724397,0.000128982329420869,73,0.377733628095018,7433802,"arts"
"string instrument",7,0.00145106424867639,1596.88131953998,0.00013984058173682,123,0.377733628095018,7433802,"arts"
"singing",7,0.00110657933094742,619.359137896443,0.000132643586682584,83,0.377733628095018,7433802,"arts"
"plucked string instruments",7,0.0010225645911228,1327.09969350678,0.000141763538417919,90,0.377733628095018,7433802,"arts"
"musical instrument accessory",7,0.000921084569699948,1202.34773082809,0.00013430029546065,121,0.377733628095018,7433802,"arts"
"percussion",7,0.000767291475843156,942.016176047591,0.000137570504883753,74,0.377733628095018,7433802,"arts"
"drum",7,0.000638335197099836,508.903473514552,0.000134607618791224,67,0.377733628095018,7433802,"arts"
"drums",7,0.000630486314100286,263.489157167105,0.000134030290845731,63,0.377733628095018,7433802,"arts"
"guitarist",7,0.000614074789258198,99.0383296231467,0.000114600045840018,61,0.377733628095018,7433802,"arts"
"skin head percussion instrument",7,0.00051938526112368,314.835516434822,0.0001308386759126,43,0.377733628095018,7433802,"arts"
"musical ensemble",7,0.00047569763683905,77.0804579819282,0.000120569086086327,49,0.377733628095018,7433802,"arts"
"guitar",7,0.000475394771580364,834.26536226531,0.000134156157767642,70,0.377733628095018,7433802,"arts"
"session musician",7,0.00042648107786209,656.24395085244,0.000131406044678055,75,0.377733628095018,7433802,"arts"
"microphone",7,0.000404702327216163,1083.12297601978,0.0001308386759126,76,0.377733628095018,7433802,"arts"
"non skin percussion instrument",7,0.000281615780693599,80.8962358803031,0.000123655249165327,24,0.377733628095018,7433802,"arts"
"piano",7,0.000267409547506667,1139.68581177492,0.000139997200055999,60,0.377733628095018,7433802,"arts"
"wind instrument",7,0.00023254564035798,945.909396112697,0.00013250298131708,45,0.377733628095018,7433802,"arts"
